,Topic,Sentiment Score,Source,Keywords,Subjectivity Score
1157,19.0,0.231,CNN,"show, one, story, like, time, life, first, book, world, new",0.4
1158,2.0,0.287,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.474
1159,19.0,0.179,CNN,"show, one, story, like, time, life, first, book, world, new",0.459
1160,19.0,0.188,CNN,"show, one, story, like, time, life, first, book, world, new",0.353
1161,19.0,0.066,CNN,"show, one, story, like, time, life, first, book, world, new",0.427
1162,19.0,0.032,CNN,"show, one, story, like, time, life, first, book, world, new",0.379
1163,19.0,0.139,CNN,"show, one, story, like, time, life, first, book, world, new",0.421
1164,19.0,0.173,CNN,"show, one, story, like, time, life, first, book, world, new",0.632
1165,19.0,0.105,CNN,"show, one, story, like, time, life, first, book, world, new",0.369
1166,12.0,0.11,CNN,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.371
1167,12.0,0.325,CNN,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.417
1168,11.0,0.057,CNN,"said, police, killed, according, told, war, people, family, prison, two",0.177
1169,12.0,0.118,CNN,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.288
1170,11.0,0.032,CNN,"said, police, killed, according, told, war, people, family, prison, two",0.261
1171,11.0,0.095,CNN,"said, police, killed, according, told, war, people, family, prison, two",0.314
1172,11.0,-0.094,CNN,"said, police, killed, according, told, war, people, family, prison, two",0.343
1173,12.0,0.155,CNN,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.382
1174,10.0,0.059,CNN,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.359
1175,16.0,0.162,CNN,"year, also, could, may, new, many, one, business, system, use",0.451
1176,12.0,0.067,CNN,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.49
1177,6.0,0.14,CNN,"parson, card, nader, hide_caption_photo_wonder, ice, restaurant, gas, hail, simpson, new_orleans",0.489
1178,19.0,0.034,CNN,"show, one, story, like, time, life, first, book, world, new",0.375
1179,19.0,0.152,CNN,"show, one, story, like, time, life, first, book, world, new",0.427
1180,19.0,0.098,CNN,"show, one, story, like, time, life, first, book, world, new",0.391
1181,10.0,0.172,CNN,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.441
1182,16.0,0.056,CNN,"year, also, could, may, new, many, one, business, system, use",0.416
1183,11.0,-0.046,CNN,"said, police, killed, according, told, war, people, family, prison, two",0.555
1184,10.0,-0.042,CNN,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.273
1185,4.0,0.217,CNN,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.384
1186,2.0,0.075,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.441
1187,21.0,0.007,CNN,"said, health, study, research, food, fda, science, drug, found, treatment",0.391
1188,5.0,0.031,CNN,"year, city, say, home, people, one, time, day, two, many",0.297
1189,2.0,0.127,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.463
1190,21.0,0.253,CNN,"said, health, study, research, food, fda, science, drug, found, treatment",0.631
1191,21.0,0.243,CNN,"said, health, study, research, food, fda, science, drug, found, treatment",0.428
1192,21.0,0.04,CNN,"said, health, study, research, food, fda, science, drug, found, treatment",0.473
1193,19.0,0.107,CNN,"show, one, story, like, time, life, first, book, world, new",0.378
1194,21.0,0.412,CNN,"said, health, study, research, food, fda, science, drug, found, treatment",0.594
1195,16.0,0.153,CNN,"year, also, could, may, new, many, one, business, system, use",0.395
1196,2.0,0.166,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.361
1197,21.0,0.139,CNN,"said, health, study, research, food, fda, science, drug, found, treatment",0.496
1198,2.0,0.164,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.481
1199,2.0,0.183,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.458
1200,11.0,-0.106,CNN,"said, police, killed, according, told, war, people, family, prison, two",0.549
1201,11.0,0.0,CNN,"said, police, killed, according, told, war, people, family, prison, two",0.333
1202,2.0,0.0,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.0
1203,6.0,0.07,CNN,"parson, card, nader, hide_caption_photo_wonder, ice, restaurant, gas, hail, simpson, new_orleans",0.364
1204,16.0,0.16,CNN,"year, also, could, may, new, many, one, business, system, use",0.36
1205,16.0,0.084,CNN,"year, also, could, may, new, many, one, business, system, use",0.447
1206,11.0,0.105,CNN,"said, police, killed, according, told, war, people, family, prison, two",0.441
1207,10.0,0.161,CNN,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.317
1208,11.0,0.081,CNN,"said, police, killed, according, told, war, people, family, prison, two",0.41
1209,11.0,0.04,CNN,"said, police, killed, according, told, war, people, family, prison, two",0.413
1210,17.0,0.005,CNN,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.231
1211,11.0,-0.021,CNN,"said, police, killed, according, told, war, people, family, prison, two",0.264
1212,22.0,0.097,CNN,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.342
1213,12.0,0.092,CNN,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.325
1214,10.0,0.033,CNN,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.298
1215,6.0,0.103,CNN,"parson, card, nader, hide_caption_photo_wonder, ice, restaurant, gas, hail, simpson, new_orleans",0.43
1216,16.0,-0.012,CNN,"year, also, could, may, new, many, one, business, system, use",0.46
1217,16.0,0.155,CNN,"year, also, could, may, new, many, one, business, system, use",0.39
1218,16.0,0.114,CNN,"year, also, could, may, new, many, one, business, system, use",0.479
1219,4.0,0.171,CNN,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.598
1220,16.0,0.14,CNN,"year, also, could, may, new, many, one, business, system, use",0.417
1221,16.0,0.029,CNN,"year, also, could, may, new, many, one, business, system, use",0.419
1222,16.0,0.063,CNN,"year, also, could, may, new, many, one, business, system, use",0.349
1223,2.0,0.047,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.505
1224,4.0,0.185,CNN,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.368
1225,4.0,0.19,CNN,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.308
1226,16.0,0.014,CNN,"year, also, could, may, new, many, one, business, system, use",0.355
1227,16.0,0.052,CNN,"year, also, could, may, new, many, one, business, system, use",0.372
1228,4.0,0.193,CNN,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.557
1229,7.0,0.239,CNN,"car, india, vehicle, driver, electric, lightning, indian, climber, company, industry",0.413
1230,5.0,0.079,CNN,"year, city, say, home, people, one, time, day, two, many",0.423
1231,7.0,0.067,CNN,"car, india, vehicle, driver, electric, lightning, indian, climber, company, industry",0.374
1232,16.0,0.105,CNN,"year, also, could, may, new, many, one, business, system, use",0.425
1233,2.0,0.172,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.472
1234,2.0,0.072,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.451
1235,5.0,0.114,CNN,"year, city, say, home, people, one, time, day, two, many",0.405
1236,19.0,0.215,CNN,"show, one, story, like, time, life, first, book, world, new",0.355
1237,4.0,0.172,CNN,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.502
1238,16.0,0.106,CNN,"year, also, could, may, new, many, one, business, system, use",0.51
1239,4.0,0.087,CNN,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.413
1240,12.0,0.064,CNN,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.488
1241,19.0,0.164,CNN,"show, one, story, like, time, life, first, book, world, new",0.618
1242,17.0,0.164,CNN,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.497
1243,16.0,0.109,CNN,"year, also, could, may, new, many, one, business, system, use",0.436
1244,17.0,0.007,CNN,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.357
1245,7.0,0.17,CNN,"car, india, vehicle, driver, electric, lightning, indian, climber, company, industry",0.396
1246,16.0,0.069,CNN,"year, also, could, may, new, many, one, business, system, use",0.498
1247,7.0,0.173,CNN,"car, india, vehicle, driver, electric, lightning, indian, climber, company, industry",0.488
1248,16.0,0.02,CNN,"year, also, could, may, new, many, one, business, system, use",0.238
1249,4.0,0.067,CNN,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.425
1250,7.0,0.128,CNN,"car, india, vehicle, driver, electric, lightning, indian, climber, company, industry",0.43
1251,2.0,0.207,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.5
1252,2.0,0.065,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.454
1253,2.0,0.0,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.667
1254,19.0,0.178,CNN,"show, one, story, like, time, life, first, book, world, new",0.54
1255,2.0,0.219,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.501
1256,19.0,0.095,CNN,"show, one, story, like, time, life, first, book, world, new",0.426
1257,5.0,0.14,CNN,"year, city, say, home, people, one, time, day, two, many",0.401
1258,19.0,0.094,CNN,"show, one, story, like, time, life, first, book, world, new",0.476
1259,2.0,0.057,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.445
1260,19.0,0.068,CNN,"show, one, story, like, time, life, first, book, world, new",0.394
1261,19.0,0.387,CNN,"show, one, story, like, time, life, first, book, world, new",0.502
1262,2.0,0.072,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.508
1263,5.0,0.176,CNN,"year, city, say, home, people, one, time, day, two, many",0.45
1264,2.0,0.187,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.453
1265,2.0,0.132,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.481
1266,2.0,-0.0,CNN,"said, n’t, would, say, like, people, one, get, time, know",0.421
1267,11.0,-0.005,CNN,"said, police, killed, according, told, war, people, family, prison, two",0.427
1268,11.0,0.052,CNN,"said, police, killed, according, told, war, people, family, prison, two",0.391
1269,5.0,0.082,CNN,"year, city, say, home, people, one, time, day, two, many",0.465
1270,10.0,0.065,CNN,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.464
1271,11.0,-0.003,CNN,"said, police, killed, according, told, war, people, family, prison, two",0.35
1272,19.0,0.151,CNN,"show, one, story, like, time, life, first, book, world, new",0.377
1273,5.0,0.193,CNN,"year, city, say, home, people, one, time, day, two, many",0.344
1274,16.0,-0.024,Breitbart,"year, also, could, may, new, many, one, business, system, use",0.407
1275,8.0,0.096,Breitbart,"court, june, case, holzhauer, boteach, israel, document, attorney, judge, federal",0.319
1276,10.0,0.14,Breitbart,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.457
1277,12.0,0.25,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.486
1278,12.0,0.051,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.082
1279,12.0,0.181,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.381
1280,12.0,0.263,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.481
1281,11.0,-0.024,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.512
1282,11.0,0.263,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.481
1283,2.0,0.074,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.402
1284,10.0,0.133,Breitbart,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.442
1285,11.0,0.086,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.429
1286,12.0,0.086,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.314
1287,17.0,0.072,Breitbart,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.432
1288,12.0,0.122,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.388
1289,12.0,-0.028,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.487
1290,11.0,-0.021,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.514
1291,12.0,0.046,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.393
1292,12.0,0.045,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.392
1293,17.0,0.118,Breitbart,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.368
1294,14.0,0.121,Breitbart,"student, school, university, college, education, high_school, class, child, teacher, black",0.396
1295,17.0,0.061,Breitbart,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.43
1296,17.0,0.109,Breitbart,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.348
1297,1.0,0.147,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.42
1298,11.0,0.058,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.33
1299,10.0,0.04,Breitbart,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.385
1300,11.0,-0.038,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.242
1301,12.0,0.083,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.29
1302,17.0,0.076,Breitbart,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.284
1303,12.0,0.048,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.298
1304,2.0,0.002,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.482
1305,17.0,0.046,Breitbart,"party, candidate, political, vote, election, brexit, leader, campaign, conservative, would",0.346
1306,2.0,0.189,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.505
1307,1.0,0.107,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.409
1308,12.0,0.083,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.336
1309,2.0,0.115,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.513
1310,2.0,0.271,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.504
1311,16.0,0.062,Breitbart,"year, also, could, may, new, many, one, business, system, use",0.466
1312,2.0,0.058,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.476
1313,12.0,0.03,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.444
1314,2.0,0.15,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.541
1315,1.0,0.046,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.428
1316,1.0,0.208,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.345
1317,12.0,0.107,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.439
1318,1.0,-0.108,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.501
1319,22.0,0.123,Breitbart,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.36
1320,1.0,0.127,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.331
1321,22.0,0.11,Breitbart,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.41
1322,22.0,-0.044,Breitbart,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.378
1323,1.0,0.002,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.156
1324,1.0,-0.084,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.358
1325,4.0,0.043,Breitbart,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.502
1326,1.0,0.091,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.457
1327,22.0,0.046,Breitbart,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.411
1328,2.0,0.084,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.426
1329,1.0,-0.483,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.683
1330,2.0,-0.023,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.55
1331,12.0,0.095,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.657
1332,4.0,0.061,Breitbart,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.363
1333,2.0,0.038,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.374
1334,19.0,0.154,Breitbart,"show, one, story, like, time, life, first, book, world, new",0.421
1335,4.0,0.228,Breitbart,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.532
1336,4.0,0.024,Breitbart,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.275
1337,16.0,0.052,Breitbart,"year, also, could, may, new, many, one, business, system, use",0.37
1338,8.0,0.166,Breitbart,"court, june, case, holzhauer, boteach, israel, document, attorney, judge, federal",0.383
1339,12.0,0.097,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.452
1340,14.0,-0.006,Breitbart,"student, school, university, college, education, high_school, class, child, teacher, black",0.361
1341,14.0,0.082,Breitbart,"student, school, university, college, education, high_school, class, child, teacher, black",0.475
1342,2.0,0.036,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.418
1343,4.0,0.027,Breitbart,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.542
1344,4.0,0.151,Breitbart,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.665
1345,12.0,0.184,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.468
1346,4.0,0.098,Breitbart,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.494
1347,4.0,0.195,Breitbart,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.484
1348,10.0,0.049,Breitbart,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.235
1349,4.0,-0.086,Breitbart,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.466
1350,12.0,-0.028,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.518
1351,16.0,0.006,Breitbart,"year, also, could, may, new, many, one, business, system, use",0.331
1352,4.0,0.028,Breitbart,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.422
1353,12.0,0.113,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.49
1354,4.0,0.132,Breitbart,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.428
1355,10.0,0.025,Breitbart,"china, chinese, military, iran, world, u.s., said, country, war, beijing",0.395
1356,14.0,0.033,Breitbart,"student, school, university, college, education, high_school, class, child, teacher, black",0.387
1357,4.0,0.124,Breitbart,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.472
1358,4.0,0.054,Breitbart,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.416
1359,12.0,-0.018,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.369
1360,12.0,0.024,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.387
1361,1.0,0.06,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.287
1362,12.0,0.128,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.402
1363,11.0,-0.002,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.401
1364,12.0,0.047,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.4
1365,12.0,0.041,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.399
1366,1.0,-0.083,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.556
1367,12.0,0.057,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.299
1368,12.0,-0.01,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.293
1369,1.0,0.0,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.389
1370,16.0,0.029,Breitbart,"year, also, could, may, new, many, one, business, system, use",0.374
1371,12.0,0.037,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.359
1372,12.0,0.09,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.297
1373,12.0,0.007,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.311
1374,12.0,0.147,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.33
1375,12.0,0.055,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.383
1376,5.0,0.078,Breitbart,"year, city, say, home, people, one, time, day, two, many",0.417
1377,1.0,0.082,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.304
1378,1.0,0.024,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.478
1379,12.0,0.135,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.409
1380,12.0,0.049,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.375
1381,12.0,-0.038,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.347
1382,12.0,0.051,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.438
1383,12.0,-0.034,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.41
1384,12.0,-0.041,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.341
1385,12.0,0.109,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.476
1386,12.0,0.016,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.317
1387,12.0,0.052,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.398
1388,11.0,-0.03,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.377
1389,1.0,0.026,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.247
1390,1.0,-0.045,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.207
1391,1.0,0.112,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.311
1392,2.0,0.048,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.49
1393,11.0,0.005,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.434
1394,1.0,0.064,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.306
1395,1.0,-0.061,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.502
1396,1.0,0.034,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.339
1397,1.0,0.022,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.328
1398,1.0,0.005,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.356
1399,1.0,0.076,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.441
1400,1.0,0.021,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.44
1401,1.0,0.028,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.43
1402,2.0,0.009,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.344
1403,1.0,-0.017,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.34
1404,2.0,-0.055,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.382
1405,1.0,-0.028,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.349
1406,1.0,0.094,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.422
1407,1.0,0.015,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.388
1408,11.0,-0.076,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.153
1409,9.0,0.1,Breitbart,"church, pastor, macron, band, woodson, kabul, wartburg_watch, mr._erickson, survivor, soviet",0.329
1410,11.0,0.035,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.428
1411,1.0,0.126,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.313
1412,11.0,-0.052,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.324
1413,11.0,0.037,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.211
1414,11.0,-0.026,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.343
1415,1.0,0.173,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.442
1416,1.0,-0.051,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.341
1417,11.0,-0.022,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.236
1418,11.0,-0.037,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.245
1419,1.0,0.069,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.348
1420,22.0,0.11,Breitbart,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.31
1421,19.0,0.107,Breitbart,"show, one, story, like, time, life, first, book, world, new",0.429
1422,11.0,0.033,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.204
1423,11.0,-0.008,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.299
1424,11.0,0.043,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.314
1425,1.0,-0.014,Breitbart,"u.s., mexico, trump, said, tariff, american, would, administration, republican, plan",0.304
1426,11.0,0.087,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.352
1427,11.0,-0.093,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.303
1428,4.0,0.108,Breitbart,"company, apple, data, facebook, google, user, privacy, technology, video, information",0.548
1429,19.0,0.069,Breitbart,"show, one, story, like, time, life, first, book, world, new",0.488
1430,19.0,0.041,Breitbart,"show, one, story, like, time, life, first, book, world, new",0.393
1431,22.0,-0.111,Breitbart,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.222
1432,12.0,-0.08,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.44
1433,2.0,0.169,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.416
1434,19.0,0.115,Breitbart,"show, one, story, like, time, life, first, book, world, new",0.31
1435,12.0,0.116,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.336
1436,12.0,0.011,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.46
1437,12.0,-0.173,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.719
1438,19.0,0.045,Breitbart,"show, one, story, like, time, life, first, book, world, new",0.323
1439,2.0,0.217,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.616
1440,22.0,-0.028,Breitbart,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.454
1441,11.0,-0.08,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.528
1442,19.0,0.195,Breitbart,"show, one, story, like, time, life, first, book, world, new",0.478
1443,19.0,0.049,Breitbart,"show, one, story, like, time, life, first, book, world, new",0.385
1444,20.0,0.081,Breitbart,"queen, club, white, sherpa, virginia_beach, performance, red, night, taylor, jackson",0.433
1445,19.0,0.254,Breitbart,"show, one, story, like, time, life, first, book, world, new",0.547
1446,2.0,0.195,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.55
1447,19.0,0.036,Breitbart,"show, one, story, like, time, life, first, book, world, new",0.424
1448,12.0,0.115,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.655
1449,2.0,0.062,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.409
1450,22.0,0.091,Breitbart,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.462
1451,2.0,0.071,Breitbart,"said, n’t, would, say, like, people, one, get, time, know",0.418
1452,22.0,0.045,Breitbart,"state, law, abortion, bill, woman, biden, republican, right, primary, democrat",0.407
1453,11.0,0.001,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.349
1454,16.0,-0.046,Breitbart,"year, also, could, may, new, many, one, business, system, use",0.315
1455,11.0,0.024,Breitbart,"said, police, killed, according, told, war, people, family, prison, two",0.282
1456,12.0,0.051,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.395
1457,12.0,0.098,Breitbart,"trump, president, said, official, n’t, would, also, u.s., former, mueller",0.421
